Species,Longitude,Latitude
Cal_sim,-76.79395,8.28956667
Cal_sim,-87.709975,18.706881
Cal_sim,-91.291687,18.638311
Cal_sim,-97.191111,26.045
Cal_sim,-80.480766,25.203633
Cal_sim,-82.88726044,23.02514648
Cal_sim,-80.885101,24.790577
Cal_sim,-91.778442,18.635491
Cal_sim,-81.685397,24.558248
Cal_sim,-78.570161,26.544933
Cal_sim,-97.772758,23.785622
Cal_sim,-75.759033,23.52255
Cal_sim,-94.13179779,18.21105766
Cal_sim,-80.146466,25.75441
Cal_sim,-96.576667,28.696944
Cal_sim,-89.686628,22.471008
Cal_sim,-92.311119,18.672529
Cal_sim,-88.93846893,23.25479317
Cal_sim,-97.644444,27.274167
Cal_sim,-91.961194,20.204694
Cal_sim,-97.437993,25.262911
Cal_sim,-82.895833,24.627777
Cal_sim,-93.84389496,18.6886692
Cal_sim,-93.51048279,19.24204636
Cal_sim,-82.34069061,24.78056526
Cal_sim,-90.410194,20.853783
Cal_sim,-88.34420776,22.3022728
Cal_sim,-80.237333,29.332
Cal_sim,-84.71572113,26.79913521
Cal_sim,-97.31250763,22.45035553
Cal_sim,-97.419444,26.527222
Cal_sim,-91.75595093,27.69209862
Cal_sim,-90.031544,21.167703
Cal_sim,-96.965556,28.162222
Cal_sim,-97.741574,24.492792
Cal_sim,-96.117508,19.286786
Cal_sim,-81.146166,25.366166
Cal_sim,-87.88371277,21.57045364
Cal_sim,-85.101166,29.558166
Cal_sim,-80.1166687,27.91666985
Cal_sim,-97.79373169,22.27995873
Cal_sim,-81.9865,25.236333
Cal_sim,-84.19126892,26.96666908
Cal_sim,-91.59999847,28.64999962
Cal_sim,-96.08229065,26.96417236
Cal_sim,-91.7933,29.095
Cal_sim,-80.186667,28.616667
Cal_sim,-96.65000153,26.16699982
Cal_sim,-92.86805725,27.71611023
Cal_sim,-92.04501343,28.13690186
Cal_sim,-83.20791626,27.30173683
Cal_sim,-82.69072723,27.47027588
Cal_sim,-80.24768864,27.34772303
Cal_sim,-96.23300171,27.7329998
Cal_sim,-96.60042572,27.12928772
Cal_sim,-87.16893005,29.47258949
Cal_sim,-96.83300018,27.56699944
Cal_sim,-82.074394,26.440117
Cal_sim,-97.18299866,26.96699905
Cal_sim,-86.389166,30.450833
Cal_sim,-86.87680817,29.92892647
Cal_sim,-93.925,29.858333
Cal_sim,-87.4467,30.3683
Cal_sim,-96.44999695,28.20000076
Cal_sim,-92.61405182,29.01935005
Cal_sim,-80.80200195,28.9090004
Cal_sim,-93.08989716,29.74850845
Cal_sim,-95.835833,28.673056
Cal_sim,-80.543333,28.175
Cal_sim,-88.006,30.617
Cal_sim,-94.728858,29.369162
Cal_sim,-88.0533,30.1617
Cal_sim,-80.09999847,31.70999908
Cal_sim,-88.97499847,29.73699951
Cal_sim,-97.481944,27.828333
Cal_sim,-75.61499786,35.2120018
Cal_sim,-81.226897,29.712044
Cal_sim,-77.75700378,33.6629982
Cal_sim,-81.11799622,30.67700005
Cal_sim,-76.15100098,34.97100067
Cal_sim,-81.34600067,30.14999962
Cal_sim,-76.4980011,34.5019989
Cal_sim,-80.91285706,32.31956863
Cal_sim,-81.19599915,31.3409996
Cal_sim,-79.91300201,32.58200073
Cal_sim,-78.8730011,33.25299835
Cal_sim,-79.43199921,32.91799927
Cal_sim,-80.37400055,32.30199814
Cal_sim,-81.13800049,31.84300041
Cal_sim,-78.4240036,33.66699982
Cal_sim,-77.75700378,34.12799835
Cal_sim,-77.101221,34.651943
Cal_sim,-75.535733,35.8291
Cal_sim,-75.115153,38.359004
Cal_sim,-75.988181,37.166547
Cal_sim,-75.6267,37.6039
Cal_sim,-72.860001,40.740002
