Species,Longitude,Latitude
Mel_cor,-81.451709,24.721366
Mel_cor,-80,25
Mel_cor,-81.686059,24.589791
Mel_cor,-86.38121,16.39573
Mel_cor,-87.74135,18.53908056
Mel_cor,-81.962583,24.522088
Mel_cor,-82.88726044,23.02514648
Mel_cor,-81.1,24.7
Mel_cor,-80.334404,25.226978
Mel_cor,-80.529799,25.013549
Mel_cor,-80.74405,24.846678
Mel_cor,-86.798701,21.216543
Mel_cor,-80.049182,26.515187
Mel_cor,-80.136902,25.905922
Mel_cor,-80.102342,26.139467
Mel_cor,-80.04618,26.776536
Mel_cor,-80,27
Mel_cor,-90.065918,25.115756
Mel_cor,-80,28
Mel_cor,-90.40658333,20.84800556
Mel_cor,-81.382237,25.871779
Mel_cor,-80.268272,25.679272
Mel_cor,-81.039703,25.129154
Mel_cor,-82,25
Mel_cor,-81.2,25.533333
Mel_cor,-87.88371277,21.57045364
Mel_cor,-85.363158,29.681008
Mel_cor,-81.717812,25.900888
Mel_cor,-80.215097,27.230086
Mel_cor,-83,27
Mel_cor,-82,26
Mel_cor,-80.283333,27.45
Mel_cor,-84.15,27.833333
Mel_cor,-80.681166,28.367833
Mel_cor,-82.159011,26.718913
Mel_cor,-86,30
Mel_cor,-84.966667,29.633333
Mel_cor,-85.587953,29.868112
Mel_cor,-82.339662,26.922863
Mel_cor,-86.253528,30.457697
Mel_cor,-80.897163,28.981895
Mel_cor,-82.021286,26.452853
Mel_cor,-82.6139,27.366287
Mel_cor,-82.742474,27.643884
Mel_cor,-82.474502,27.134566
Mel_cor,-81.834122,26.298578
Mel_cor,-80.474319,27.877306
Mel_cor,-83,28
Mel_cor,-84.454578,29.933367
Mel_cor,-87,30
Mel_cor,-85.70723,30.176095
Mel_cor,-84.333333,29.25
Mel_cor,-84.747825,29.795187
Mel_cor,-82.755264,28.254293
Mel_cor,-81.006936,29.191133
Mel_cor,-88.022836,30.224062
Mel_cor,-83.583865,29.773269
Mel_cor,-82.654442,28.559685
Mel_cor,-80.648941,28.676075
Mel_cor,-86.633805,30.404787
Mel_cor,-86.047789,30.288019
Mel_cor,-87.157059,30.329405
Mel_cor,-81.109117,29.436795
Mel_cor,-84.012018,30.146636
Mel_cor,-83.039271,29.147486
Mel_cor,-87.428586,30.23253
Mel_cor,-89.089928,30.210907
Mel_cor,-82.479018,27.852114
Mel_cor,-81.105065,29.679548
Mel_cor,-87.737162,30.242012
Mel_cor,-81.305436,29.915588
Mel_cor,-80.625044,28.125526
Mel_cor,-82.619929,28.892702
Mel_cor,-82,27
Mel_cor,-82.672652,28.032317
