Species,Longitude,Latitude
Pan_arg,-74.32758,10.97982
Pan_arg,-75.6900333,9.7076694
Pan_arg,-76.19378056,9.398516667
Pan_arg,-82.11699677,9.100000381
Pan_arg,-75.7706389,10.1748611
Pan_arg,-77.3587222,8.6621388
Pan_arg,-76.90097096,8.37165988
Pan_arg,-49.8833,2.6
Pan_arg,-76.7583313,17.86700058
Pan_arg,-74.397677,18.326323
Pan_arg,-47.7667,0.5667
Pan_arg,-50.5833,4.7
Pan_arg,-86.02500153,21.7451992
Pan_arg,-79.778866,21.598503
Pan_arg,-81.2409,19.3222
Pan_arg,-77.947,18.465
Pan_arg,-80.0792,19.6848
Pan_arg,-77.167957,18.434817
Pan_arg,-81.55621,9.109056
Pan_arg,-49.5833,3.0333
Pan_arg,-88.036939,17.674294
Pan_arg,-79.83416748,9.395279884
Pan_arg,-86.66670227,20.23329926
Pan_arg,-68.159,10.499
Pan_arg,-86.9988,16.0875
Pan_arg,-87.8745,17.1769
Pan_arg,-87.703504,18.71521
Pan_arg,-87.17749786,19.35580063
Pan_arg,-86.9379,20.6272
Pan_arg,-87.8461,16.5839
Pan_arg,-60.889862,14.423832
Pan_arg,-87.36669922,20.23329926
Pan_arg,-87.00340271,18.31220055
Pan_arg,-79.296913,25.69977
Pan_arg,-86.428005,16.357591
Pan_arg,-67.23322,17.99116
Pan_arg,-85.910002,16.430589
Pan_arg,-87.831868,18.162773
Pan_arg,-67.484,18.37747
Pan_arg,-48.3167,2.1333
Pan_arg,-66.7563,17.9649
Pan_arg,-45.9417,0.075
Pan_arg,-82.88726044,23.02514648
Pan_arg,-68.8361,18.3424
Pan_arg,-80.912365,24.777083
Pan_arg,-81.48300171,13.5
Pan_arg,-61.78454,16.17459
Pan_arg,-67.93692,18.0717
Pan_arg,-66.855869,18.490145
Pan_arg,-66.05000305,17.98306084
Pan_arg,-62.631541,17.229734
Pan_arg,-76.235136,24.798589
Pan_arg,-86.722503,21.1649
Pan_arg,-38.518826,-12.760307
Pan_arg,-39.0061,-13.9017
Pan_arg,-34.9985,-8.5079
Pan_arg,-64.744518,18.436962
Pan_arg,-40.84999847,-2.51699996
Pan_arg,-80.404815,25.125983
Pan_arg,-64.795,17.7802
Pan_arg,-72.3381,21.8437
Pan_arg,-65.57244,18.378475
Pan_arg,-66.0823,18.46118
Pan_arg,-71.1387,21.4655
Pan_arg,-38.478649,-3.811753
Pan_arg,-81.484226,24.795663
Pan_arg,-63.0279,18.2628
Pan_arg,-66.07686,10.54488
Pan_arg,-70.5279,19.7577
Pan_arg,-64.935,20.813333
Pan_arg,-64.773,19.297
Pan_arg,-68.262382,12.20189
Pan_arg,-75.884903,23.593982
Pan_arg,-68.8982,12.0849
Pan_arg,-94.13179779,18.21105766
Pan_arg,-32.3938,-3.823
Pan_arg,-81.918583,24.441048
Pan_arg,-72.79000092,11.75
Pan_arg,-34.8696,-7.652
Pan_arg,-38.1167,-16.0833
Pan_arg,-77.20951,25.144221
Pan_arg,-80.25,25.583333
Pan_arg,-70.0555,12.5788
Pan_arg,-89.7475,22.55716667
Pan_arg,-79.1594,31.731112
Pan_arg,-88.71506,23.24248
Pan_arg,-80.092589,26.189949
Pan_arg,-82.926224,24.630029
Pan_arg,-69.802,11.944
Pan_arg,-75.14167023,34.64332962
Pan_arg,-93.84389496,18.6886692
Pan_arg,-80.013298,26.877517
Pan_arg,-73.34999847,11.5
Pan_arg,-64.603,11.848
Pan_arg,-82.34069061,24.78056526
Pan_arg,-38.4333,-17.4167
Pan_arg,-88.34420776,22.3022728
Pan_arg,-73.93000031,11.5
Pan_arg,-39.207611,-17.951725
Pan_arg,-69.03610992,11.57499981
Pan_arg,-38.695314,-17.964455
Pan_arg,-39.0833,-17.05
Pan_arg,-87.88371277,21.57045364
Pan_arg,-97.79373169,22.27995873
Pan_arg,-84.19126892,26.96666908
Pan_arg,-82.066667,25.366667
Pan_arg,-92.04501343,28.13690186
Pan_arg,-82.96683333,26.28783333
Pan_arg,-81.766667,25.916667
Pan_arg,-83.20791626,27.30173683
Pan_arg,-80.281028,27.428856
Pan_arg,-84.09916667,27.88975
Pan_arg,-96.60042572,27.12928772
Pan_arg,-72.185175,12.20725833
Pan_arg,-76.75,33.73333
Pan_arg,-75.7811,34.645279
Pan_arg,-97.0777359,27.28079605
Pan_arg,-82.718123,27.635016
Pan_arg,-86.55963898,30.41911125
Pan_arg,-86.87680817,29.92892647
Pan_arg,-64.678803,32.38868
Pan_arg,-92.61405182,29.01935005
Pan_arg,-93.08989716,29.74850845
Pan_arg,-84.819224,29.682019
Pan_arg,-82.94828,28.205736
Pan_arg,-40.135556,-19.959107
Pan_arg,-77.41500092,33.52666855
Pan_arg,-85.867705,30.209738
Pan_arg,-80.22000122,31.73332977
Pan_arg,-70,38.5
Pan_arg,-48.4783,-27.1353
Pan_arg,-77.553,33.961
Pan_arg,-79.91169739,32.75329971
Pan_arg,-62.9689,42.926109
Pan_arg,-65.0189,42.486946
