Species,Longitude,Latitude
Lut_gut,-118.416,33.3879
Lut_gut,-117.803,33.5457
Lut_gut,-115.8000031,30.03000069
Lut_gut,-114.6200027,30.5
Lut_gut,-114.335422,29.800948
Lut_gut,-114.1833333,27.0166667
Lut_gut,-113.6299973,31.32999992
Lut_gut,-113.536369,29.551063
Lut_gut,-113.5333333,28.925
Lut_gut,-113.25,31.02000046
Lut_gut,-112.872786,28.444867
Lut_gut,-112.0800018,28.46999931
Lut_gut,-111.9683333,26.9566667
Lut_gut,-111.76,24.445
Lut_gut,-111.6999969,26.54999924
Lut_gut,-111.475,28.375
Lut_gut,-111.3333435,26.01666641
Lut_gut,-111.0699997,25.52000046
Lut_gut,-111.0416667,24.0933333
Lut_gut,-111.006128,27.963224
Lut_gut,-110.391667,24.458333
Lut_gut,-109.9499969,22.85000038
Lut_gut,-109.8799973,24.20000076
Lut_gut,-109.583333,26.7
Lut_gut,-109.5699997,25.54999924
Lut_gut,-109.525,23.6033333
Lut_gut,-109.46,22.57
Lut_gut,-109.434413,23.084269
Lut_gut,-109,25.5833
Lut_gut,-107.7099991,24.37999916
Lut_gut,-107,23
Lut_gut,-106.8199997,23.64999962
Lut_gut,-106.7099991,21.72999954
Lut_gut,-106.333333,23.166667
Lut_gut,-106.0500031,22.25
Lut_gut,-105.5299988,22.28000069
Lut_gut,-105.4166667,20.6666667
Lut_gut,-105.3586121,21.2588882
Lut_gut,-105.0802765,19.5305557
Lut_gut,-104.404891,19.097939
Lut_gut,-103.518489,18.353889
Lut_gut,-103.064672,18.192272
Lut_gut,-102.514583,18.0175
Lut_gut,-102,17.916667
Lut_gut,-101.5,17.5833
Lut_gut,-101.069017,17.310467
Lut_gut,-99.908899,16.840307
Lut_gut,-99.4,16.65
Lut_gut,-98.63999939,16.35000038
Lut_gut,-97.082428,15.857772
Lut_gut,-96.490831,15.665435
Lut_gut,-95.97000122,15.81000042
Lut_gut,-95.518611,15.668889
Lut_gut,-95.12999725,16.04000092
Lut_gut,-94.63999939,15.97999954
Lut_gut,-94,16
Lut_gut,-93.150757,15.28489
Lut_gut,-92.675,14.6722
Lut_gut,-90.979245,-0.97075
Lut_gut,-90.311116,-0.753052
Lut_gut,-89.80000305,13.52000046
Lut_gut,-89.319199,13.485954
Lut_gut,-89,13
Lut_gut,-88.54000092,13.23999977
Lut_gut,-87.68541718,13.2005558
Lut_gut,-87.16000366,12.46000004
Lut_gut,-87.0623,5.546
Lut_gut,-86.819481,12.148075
Lut_gut,-86.1986,11.5294
Lut_gut,-86.15000153,10.52999973
Lut_gut,-85.86000061,8.75
Lut_gut,-85.80000305,10.92000008
Lut_gut,-85.512557,9.870328
Lut_gut,-85.1,10.1
Lut_gut,-85,9.5
Lut_gut,-84.62999725,9.779999733
Lut_gut,-84.36000061,9.380000114
Lut_gut,-83.7363,8.638
Lut_gut,-83.2879,8.3698
Lut_gut,-82.75,8.31000042
Lut_gut,-82.2619,8.0944
Lut_gut,-81.783,7.2661
Lut_gut,-81.73000336,8.119999886
Lut_gut,-81.59999847,3.99000001
Lut_gut,-81.44000244,7.670000076
Lut_gut,-81.416667,-4.666667
Lut_gut,-81.11000061,-5.090000153
Lut_gut,-80.961323,-2.217975
Lut_gut,-80.90000153,7.21999979
Lut_gut,-80.773925,-0.950188
Lut_gut,-80.467171,6.953888
Lut_gut,-80.34999847,8.329999924
Lut_gut,-80.25,7.880000114
Lut_gut,-80.18000031,7.420000076
Lut_gut,-80.12999725,-2.940000057
Lut_gut,-80.074889,-6.671512
Lut_gut,-80.009266,0.607318
Lut_gut,-80,7
Lut_gut,-79.90000153,8.399999619
Lut_gut,-79.59999847,8.899999619
Lut_gut,-79.51999664,8
Lut_gut,-79.1096,8.4464
Lut_gut,-79.0583,1.60069
Lut_gut,-79,8
Lut_gut,-78.82,9.52
Lut_gut,-78.658,2.425
Lut_gut,-78.6333,8.7
Lut_gut,-78.41000366,8.109999657
Lut_gut,-78.31666565,3
Lut_gut,-78.2,7.5583333
Lut_gut,-77.93000031,2.660000086
Lut_gut,-77.69999695,3.299999952
Lut_gut,-77.56999969,6.75
Lut_gut,-77.50698,5.58438
Lut_gut,-77.3467,6.011367
Lut_gut,-77.27999878,3.799999952
Lut_gut,-77.21577454,8.457221031
