Species,Longitude,Latitude
Ser_lal,-105.739462,22.538242
Ser_lal,-109.0500031,25.62000084
Ser_lal,-75.685,9.7433
Ser_lal,-84.54000092,9.5
Ser_lal,-82.6266667,7.2533333
Ser_lal,-81.61000061,7.550000191
Ser_lal,-72.689448,18.919812
Ser_lal,-99.91999817,16.85000038
Ser_lal,-101.5,17.5667
Ser_lal,-90.8333333,12.7533333
Ser_lal,-85.6566667,9.7583333
Ser_lal,-72.348905,18.555116
Ser_lal,-102.9700012,17.95000076
Ser_lal,-77.933687,9.139929
Ser_lal,-75.559426,10.409576
Ser_lal,-82.333333,9.416667
Ser_lal,-79.434082,21.591964
Ser_lal,-78.7833333,9.5666667
Ser_lal,-85.9833333,10.5733333
Ser_lal,-88.804506,16.096908
Ser_lal,-81.193855,22.168554
Ser_lal,-76.8333333,17.8833333
Ser_lal,-81.388484,19.312744
Ser_lal,-76.3666667,18.1666667
Ser_lal,-77.9333333,18.4666667
Ser_lal,-79.653519,9.553724
Ser_lal,-73.4167,20.2167
Ser_lal,-77.30000305,5.699999809
Ser_lal,-62.164551,10.356843
Ser_lal,-67.166667,18.083333
Ser_lal,-86.85833333,16.09166667
Ser_lal,-87.95,17.916667
Ser_lal,-87.847977,16.713544
Ser_lal,-69.900343,18.459828
Ser_lal,-82.1167,16.0333
Ser_lal,-61.656399,10.66579
Ser_lal,-80.19389,25.77389
Ser_lal,-85.886809,16.433875
Ser_lal,-73.6667,20.8667
Ser_lal,-88.1333,17.5
Ser_lal,-79.3,25.55
Ser_lal,-77.80927,24.299452
Ser_lal,-64.885083,17.710361
Ser_lal,-81.346438,13.376503
Ser_lal,-61.749279,12.053688
Ser_lal,-67.891428,18.111636
Ser_lal,-106.416667,21.383333
Ser_lal,-60.997082,14.012658
Ser_lal,-82.402725,23.208054
Ser_lal,-78.17944336,2.947777748
Ser_lal,-80.063234,13.527659
Ser_lal,-80.442634,23.953101
Ser_lal,-80.0611,23.0433
Ser_lal,-60.8422,11.1558
Ser_lal,-80.76667,24.83333
Ser_lal,-64.856368,18.315623
Ser_lal,-72.44429,21.663682
Ser_lal,-78.1944,22.5125
Ser_lal,-79.03667,1.49556
Ser_lal,-62.75,17.33333
Ser_lal,-65,17
Ser_lal,-71.5406,21.4856
Ser_lal,-63.5333,17.4667
Ser_lal,-60.877164,14.753743
Ser_lal,-62.904036,17.956578
Ser_lal,-61.413077,12.594555
Ser_lal,-65.3052778,18.1452778
Ser_lal,-86.7167,21.2
Ser_lal,-79.018828,26.741842
Ser_lal,-79.649659,0.976157
Ser_lal,-54.07,6.83
Ser_lal,-81.49333,24.81667
Ser_lal,-66.086796,18.459359
Ser_lal,-38.483333,-3.716667
Ser_lal,-76.1064,23.7521
Ser_lal,-80.258385,25.14429
Ser_lal,-34.674593,-8.104079
